state,year,month,tmmx_c,tmmn_c,precip_mm,wind_speed,etr_mm
Arkansas,2000,1,10.77725191005834,-0.6671439184091241,1.9398073560227551,3.8684665644189815,2.6069666223534806
Arkansas,2000,2,16.78425517169194,2.8572741222309332,2.3748814133389566,4.358870021299679,3.8774024796430875
Arkansas,2000,3,18.844554897082105,6.5337383876573085,3.4871904796179134,3.680037052552286,4.067832461031221
Arkansas,2000,4,21.86600702730118,8.620822596077744,3.0885077915306702,4.232325667260792,5.362880184299595
Arkansas,2000,5,27.27070451769424,16.44637092658536,5.378314201041116,4.323130216109203,5.951072276389768
Arkansas,2000,6,29.197766042862384,18.76941855761396,5.802976453381562,3.45321770754057,5.866363816886711
Arkansas,2000,7,32.797602608018906,20.810247802137326,1.2485973602360687,2.712982867314039,6.928260516941913
Arkansas,2000,8,36.795318808958825,21.4101838433495,0.30999287672247133,3.0267280892247697,8.522294654289439
Arkansas,2000,9,30.40839989693285,15.362005521237677,2.5104414961125827,3.555055828361966,6.397477674661679
Arkansas,2000,10,24.996814231265773,10.797498892883198,1.4751569677574965,3.173342307881565,4.589231783938012
Arkansas,2000,11,12.871996561758294,2.4009107336438547,7.574997281920482,3.5578402720456954,2.213126690550292
Arkansas,2000,12,4.255237963165428,-5.4427147243570175,3.117333297520662,3.94794386362989,1.5654912339168883
Arkansas,2001,1,8.356239987974277,-2.6527695663870645,2.8612699249051947,3.404890134053691,1.830747581590153
Arkansas,2001,2,13.047151852221532,1.7131742511814423,7.2664884756626416,4.221818423403967,2.868027203448019
Arkansas,2001,3,14.615197817619787,3.228820893780096,3.1698256971714716,3.447828997748831,3.460995353869957
Arkansas,2001,4,25.12458442979397,12.448659380257936,1.9972683026323825,4.5954767923039315,6.117732404894506
Arkansas,2001,5,27.475679082774377,14.839191481163368,4.593112330203458,3.618363079372249,6.121104830153198
Arkansas,2001,6,30.301467761066363,18.33070670795678,2.711964381181226,2.9026840472847457,6.3305445039015344
Arkansas,2001,7,33.6691952924773,22.26886016795703,2.2422709878122182,2.749416271068431,6.697549187212833
Arkansas,2001,8,33.110160705136025,20.945472330552604,2.20720303800825,2.765065431085566,6.408229918005846
Arkansas,2001,9,27.981494678583942,14.955578525706073,3.1467932988506635,2.9077743502886615,5.061283930953329
Arkansas,2001,10,22.703126018552837,7.678520415740024,4.7063380056605135,3.9285489398112934,4.731565223737226
Arkansas,2001,11,19.095534442190285,5.764915074124303,4.94714157262412,3.3885200804988833,2.939268951975071
Arkansas,2001,12,12.461293831316311,1.5354876609459893,6.731843714252367,3.506724014448505,2.297104461099277
Arkansas,2002,1,12.39398528852513,-0.18309200527568237,3.299537525222402,3.9892505301159735,2.886268775312132
Arkansas,2002,2,11.351228893945006,-1.208321093607367,2.5343965274703275,3.9661020141016645,3.033448850356276
Arkansas,2002,3,15.211721468154963,3.012959372577029,7.822461455255721,4.8210349057278234,4.08347361003365
Arkansas,2002,4,24.025703304042622,11.550789226492554,2.898625453960673,4.606988619729123,5.940071294891347
Arkansas,2002,5,25.109355754523335,14.057032669350747,4.991200158635892,4.265310614328664,5.555729751257902
Arkansas,2002,6,30.666571073919954,19.100468891235607,2.2512295931298976,3.0740661076222002,6.368950535728633
Arkansas,2002,7,32.51173027642511,21.68542898607683,3.24224182433086,2.5913891311486306,6.05978392776446
Arkansas,2002,8,32.518481580326124,20.706929063927873,2.615522654866596,3.2085970553391197,6.4368199550126395
Arkansas,2002,9,30.367931154160487,17.395137530360103,2.599562942013263,3.37462886701789,5.78846721501674
Arkansas,2002,10,20.27801571429552,10.704655540688918,3.7173161721857055,3.3722868117467937,3.1971227575924397
Arkansas,2002,11,14.91511305531418,2.5252980942273666,1.865619082916048,4.087352977999917,3.054959420822344
Arkansas,2002,12,11.130072284022276,0.6323890005729709,6.115989342866835,4.374689363081895,2.1967426798917744
Arkansas,2003,1,8.191165366324697,-3.519946879088536,0.5503911282198154,4.166337795584879,2.4143856198125904
Arkansas,2003,2,8.912483727332472,-0.7104936031172997,5.494780698794837,4.197593472021473,2.1224098123963335
Arkansas,2003,3,17.23894670732534,4.155433857900448,1.689475590439261,3.8952905668516933,3.9530964487280706
Arkansas,2003,4,23.6662640010303,10.08630537306982,2.2878335114804913,4.838500709244597,6.255742082669279
Arkansas,2003,5,26.44805995366778,15.51789332716487,5.650126599398954,4.009351297409217,5.716790602349021
Arkansas,2003,6,28.34585493915,17.723982293726806,4.955714707627746,3.1222588544766623,5.807738709965041
