state,year,month,tmmx_c,tmmn_c,precip_mm,wind_speed,etr_mm
South Dakota,2000,1,0.24859587015743045,-12.752592232279426,0.305075901255416,3.561811919830733,1.106881769301118
South Dakota,2000,2,5.939889058628125,-7.405554935440136,0.6238015674010056,3.840248497774122,2.118665965549072
South Dakota,2000,3,11.334072492397638,-3.3096333286902677,1.0580084335769184,4.1111005801373155,3.3333257182229303
South Dakota,2000,4,14.854023993850149,0.14346653971517753,2.2777693955855995,4.67818686977895,4.66270744897438
South Dakota,2000,5,21.976315903406658,7.689633630207084,2.6350713918706368,4.314939912322014,5.987524795018344
South Dakota,2000,6,25.628949757118278,11.077096550494048,2.2840394448847263,4.453324866732244,7.197152130330971
South Dakota,2000,7,30.240773814012186,15.98021453134453,2.11325385380917,3.6275173734887742,7.4321293595979245
South Dakota,2000,8,30.632922949275667,15.116233571827195,1.1998277972283167,4.133806245393668,7.720208417985203
South Dakota,2000,9,25.798660919729173,8.331222757443015,0.5358013385003335,4.299528224951609,6.8236306239434565
South Dakota,2000,10,17.025039802660274,3.030611810348546,1.0151052223124808,3.806149343572705,3.5566174664920136
South Dakota,2000,11,0.4096181391014966,-9.58386501474132,1.665681668303003,4.643672946194289,1.2191035666244234
South Dakota,2000,12,-6.469201854862092,-17.619424162670015,0.3425889477346141,3.832489496403658,0.7984577494993875
South Dakota,2001,1,0.7643698483013281,-10.690364764232015,0.6787125746597586,3.8358738578694482,1.178026055808207
South Dakota,2001,2,-5.337462877085159,-16.848145225614928,0.8326626527574458,3.5599321578024252,0.7925626346156496
South Dakota,2001,3,4.589414756842018,-6.2895982378903454,0.37018973946847494,3.3843031669961987,1.9557479877124064
South Dakota,2001,4,15.069154849938002,1.841488949186953,3.300469449401647,4.718127828586484,4.499068874259342
South Dakota,2001,5,21.232037103337632,7.764383558365751,2.0217690421161016,4.347746147874503,5.967420823683136
South Dakota,2001,6,25.953535091267895,12.666542773255344,2.717768513245801,4.111876928229052,6.7741977446965045
South Dakota,2001,7,30.732942691085327,17.128994811539258,3.179257222634727,3.613725514908979,7.171804205061751
South Dakota,2001,8,31.095374319345865,14.907339321034556,0.588094661347101,3.815370770258002,7.715007639909651
South Dakota,2001,9,24.33483984240212,9.399964118446746,1.538078469414027,3.950035217210461,5.704704213325882
South Dakota,2001,10,16.166993611387,1.0546496264310576,0.8163935602746274,4.327391469617418,3.9609913994754917
South Dakota,2001,11,12.018572629211064,-2.9047493968375306,1.0448600008673952,4.0914902716998665,2.7926711261078543
South Dakota,2001,12,1.0813255630123422,-9.859783314241838,0.04874120138300746,3.9866917530541586,1.119424108873334
South Dakota,2002,1,1.950266870426276,-10.3044785243884,0.21634181048048878,3.900703568058744,1.5179575652435258
South Dakota,2002,2,5.803412006329268,-8.553467006552808,0.16605333273264794,4.656733095152062,2.352201012737682
South Dakota,2002,3,0.5020480487081045,-11.187137828049003,0.8036098432711876,4.248710595118621,1.7430509148425612
South Dakota,2002,4,14.816349136115662,-0.028172970575667478,1.1226073621773467,4.602595561744244,4.764183518325965
South Dakota,2002,5,19.56359225741437,4.361277145447957,1.3281768931758764,4.7089887784543585,6.275206179181394
South Dakota,2002,6,29.538948488151107,13.859403548357875,1.2658743517582527,4.432251170293942,8.720921506882634
South Dakota,2002,7,33.20458293437082,17.555382806907062,1.4694351559252303,4.117416112450082,9.205046189357365
South Dakota,2002,8,28.90655776881141,14.110946693572657,2.643278146535695,4.497173395040261,7.424505195936886
South Dakota,2002,9,24.662470407792398,9.71350179300714,1.3678237288341348,4.228648753453308,6.229457136680258
South Dakota,2002,10,9.107214667440985,-1.836991175546359,1.1982457298784015,3.9440155391306013,2.3111357155941805
South Dakota,2002,11,8.084991148476718,-4.816013328869474,0.05640360792166738,4.261426484392716,2.2833534229876697
South Dakota,2002,12,3.616588141336763,-8.753582263061219,0.1926145790864855,4.036120507158614,1.5316221924325462
South Dakota,2003,1,-0.3811600647759974,-12.803304447331357,0.3658334040780827,4.000328591961937,1.3422801773100168
South Dakota,2003,2,-1.326080356643729,-13.789297384298834,0.5838995433381143,4.084088493061809,1.1925085648533917
South Dakota,2003,3,7.925192452735587,-6.623478903767875,0.7658075501575428,4.457392066651663,3.321538313673023
South Dakota,2003,4,15.639520812531316,2.1125094789468335,1.9412796122190465,4.781825649602208,4.787327033016691
South Dakota,2003,5,19.80578389527028,6.705427344440295,2.3358938683785126,4.438926268615804,5.33147633154858
South Dakota,2003,6,24.80045237747572,11.604739770698586,3.0440880334643428,4.080286619768824,6.365165583664212
South Dakota,2003,7,31.667658980566785,15.84390408898247,1.2350814933897019,3.9569184651586724,8.513552436542858
South Dakota,2003,8,31.74285361653665,15.900683025118042,0.8377444690038519,4.158908545251872,8.44473795043225
South Dakota,2003,9,23.62194039053668,7.343921862777904,1.5299121752485418,4.65044580859208,6.2628254906118395
South Dakota,2003,10,18.84975994678581,2.7772571321142436,0.6925714837995557,4.200901558156565,4.6206304743294275
South Dakota,2003,11,3.343735369485671,-7.902778260321213,0.6454586567653714,4.183198054857444,1.5909701231847675
South Dakota,2003,12,1.8770566057600604,-8.1618944233403,0.2570166703311747,4.1894482720320605,1.0782112906742907
South Dakota,2004,1,-3.1551927143752323,-14.80934546423316,0.29238212778322115,3.900439914970744,1.0782364664557822
South Dakota,2004,2,1.1638948114519394,-10.473254755588755,0.3612451780154809,4.03843418390627,1.5184392453500692
South Dakota,2004,3,10.37136772414567,-3.052697614186343,1.3443698188894917,5.053588981068036,3.512774276262845
