state,year,month,tmmx_c,tmmn_c,precip_mm,wind_speed,etr_mm
Michigan,2000,1,-2.109520528551343,-12.062814665330109,1.3438638365271582,4.957246521682233,0.9194704346345514
Michigan,2000,2,2.8237489089039514,-8.397375240084216,1.2750384997245439,4.655005026386527,1.5157501932140858
Michigan,2000,3,9.463583817031974,-2.2938978780182993,1.320600258941836,4.5474000102848375,2.8866863006795738
Michigan,2000,4,11.907978305019867,-0.2474159556647919,2.02699207592357,4.362412834452731,3.6876363015126987
Michigan,2000,5,20.251897492338117,7.753888638976775,3.7272184241945445,4.391275954718265,5.177370736992473
Michigan,2000,6,23.249369391561686,11.377488399806282,3.474012716786551,4.309427125967507,5.609774687381065
Michigan,2000,7,25.155289506717565,12.827445066136647,2.885020595485921,3.416802736253258,5.410795923387805
Michigan,2000,8,25.345745856100564,12.781596315764602,2.36014980910575,3.467593647364772,4.867270653441154
Michigan,2000,9,20.461715867144846,8.154192182197903,3.426647307007843,4.734606320497583,3.973148927545296
Michigan,2000,10,16.54120708369811,4.241187298568775,1.3685436041470924,4.220918781731451,2.924648596970813
Michigan,2000,11,5.611769675639152,-1.5374850062623864,2.3583248492505717,4.860226666207395,1.4845485371445895
Michigan,2000,12,-4.624105241390453,-13.583900090884015,2.0886231977201395,4.870183532833045,0.65482648565614
Michigan,2001,1,-0.5477124212189324,-8.643162286617496,1.0668781079760543,4.352844578339003,0.8189163474039336
Michigan,2001,2,-1.2832588518394914,-10.507908564480033,2.369496985287234,4.748789123077652,1.0959634159425575
Michigan,2001,3,3.9400809734012796,-6.326710315579135,0.5735608455831795,4.1284671008813705,1.937532395843701
Michigan,2001,4,14.641024414125809,1.759918351397232,2.687339242426144,5.040992793651062,4.459257525345909
Michigan,2001,5,20.058810385387687,7.675326249600403,3.8604593654232704,4.401304347421509,5.3021449367399756
Michigan,2001,6,24.543689353486855,12.054542567001363,2.7193573271639986,3.6523810107337495,5.780308195931279
Michigan,2001,7,27.01425244813106,13.36567706872961,1.6177548137693767,3.592292196256099,6.29885242734605
Michigan,2001,8,26.93093295096503,14.150745745599068,2.82671855203992,3.642545791031107,5.375908476810514
Michigan,2001,9,20.039690277341435,8.43800125865664,3.5888281912856406,4.159177381756866,3.46775452136867
Michigan,2001,10,13.934546724576023,3.4687821470375866,4.5285596845486005,5.692699003462257,2.837875600528015
Michigan,2001,11,11.026351042896977,1.6078469229930192,2.084865830248129,5.083574399439631,1.968321435157
Michigan,2001,12,3.156847751323596,-3.9842451048955354,1.6741690579493473,5.021302268871192,1.108839240649155
Michigan,2002,1,1.5090604385986808,-6.389766347048862,0.9783253108086508,4.6910749120684425,1.0707586739927895
Michigan,2002,2,2.270937583862292,-7.9832805749306885,2.01155987409366,5.236952640649535,1.4494742584307856
Michigan,2002,3,2.8103027352323693,-7.862650621262617,2.1831103149992734,5.20449845020412,1.9851274011860447
Michigan,2002,4,11.906183120526748,0.8227694409260948,3.0790251354392506,4.983950448737581,3.9620333391930576
Michigan,2002,5,16.285607673195898,4.148485582411524,3.156056266633078,4.979741049057126,4.932869227101808
Michigan,2002,6,24.980161646390286,12.616900331483066,2.618919057391569,3.903691383746316,5.956316511676325
Michigan,2002,7,28.934758371040232,15.670550317375216,2.6930692758178547,3.7531242213848115,6.839187452604809
Michigan,2002,8,26.098568157017667,13.475387710837026,2.993305240524795,3.7505702802860936,5.131447146629873
Michigan,2002,9,24.114050779760987,10.718141320442783,1.7787055442249091,4.168465216841588,4.574487874365243
Michigan,2002,10,11.174317118623321,1.312326120451587,2.588064636579836,4.743405688230315,2.365739348057025
Michigan,2002,11,4.929927525509356,-3.519415982901876,1.29458646411527,5.339650392375527,1.5108223480495573
Michigan,2002,12,0.6553756128845407,-7.409497840976712,0.9325104835306472,5.7664468913989175,0.9691287780413752
Michigan,2003,1,-4.428556039543594,-12.589774838799428,0.7916505318884287,6.072036144326357,0.9316415851779658
Michigan,2003,2,-3.5432950260259872,-14.430067466555727,0.9991119147583825,5.312781767745427,1.1444540226691988
Michigan,2003,3,4.786049359646313,-7.871400554695356,1.6644339263143082,4.488390753120987,2.4523081201616006
Michigan,2003,4,11.859266453860982,-1.0238120693898054,2.434934756935938,5.045409340197907,4.223998988670496
Michigan,2003,5,17.838280881694175,5.309709531443218,3.357311474472469,4.406411143116364,4.681536981823467
Michigan,2003,6,23.932789915460773,9.963226679650575,1.9103198361574212,3.6154181503132867,5.986167501673654
Michigan,2003,7,26.4137046154367,13.193148527949916,2.761214495871768,3.89188866356356,6.094690527677035
Michigan,2003,8,26.736392028689124,13.805627925266435,2.2691009603267744,3.5334893530611082,5.250814311770031
Michigan,2003,9,21.071695657391388,8.71150448496769,2.8254459314403713,4.807162905048926,4.209337083736672
Michigan,2003,10,13.907719875172688,2.5241286123733175,1.9212544956994702,4.82437898017937,2.8809581268264703
Michigan,2003,11,6.89840749706093,-1.3749485019847043,3.923478490412978,5.832871350576258,1.6146308335782564
Michigan,2003,12,1.6868624062527147,-5.970869604307097,1.637912792598985,5.453676636044843,1.0126742563982452
Michigan,2004,1,-5.663102987425702,-14.64620168005365,1.7342112542410413,5.656501533540624,0.8431503837136264
Michigan,2004,2,0.5471971069153483,-10.706316809376517,1.152809218990965,4.572451542267738,1.202420603708598
Michigan,2004,3,5.857622235023257,-3.6343002914358635,2.614454644149172,5.447423115691441,2.1839636942531557
Michigan,2004,4,13.310155505526438,0.41778391584279007,1.7203691129791496,5.0186686074679,4.503490593180801
Michigan,2004,5,18.053568000674375,6.123085509971531,5.361600321573874,4.561755952097466,4.645607663692681
Michigan,2004,6,22.977108240358007,10.433154009999157,2.8082852994383174,4.305693213751687,5.934830654123454
Michigan,2004,7,25.082700578624838,12.80614330629595,2.6584869414951444,3.5550621944163114,5.369758103125958
Michigan,2004,8,23.25234091611793,10.920744968306849,2.625520836968256,3.990561776128506,4.758158239762555
Michigan,2004,9,24.23987575511393,10.117693563997761,0.8996378100550194,4.317365985094557,4.775247664895004
Michigan,2004,10,14.422985237314265,3.893718955515169,3.0909345620602178,5.291774959320712,2.61482731837538
Michigan,2004,11,7.485723398707989,-1.1081783153944116,2.3877721650797836,5.211017040654676,1.6441655578839605
Michigan,2004,12,-0.501014967457877,-9.057950500258414,2.452791258109739,6.301970935416812,1.018597289672454
Michigan,2005,1,-3.516537606370605,-12.645964382735258,2.4303111705208624,5.134816602933645,0.8890442457906604
Michigan,2005,2,0.7108862491766104,-8.548886744565607,1.6447182919710528,4.492170952545743,1.0898446642188484
Michigan,2005,3,3.446490088355688,-8.56878011995832,1.0039255942298744,4.304950845093714,2.064173234400335
Michigan,2005,4,14.672078829165002,0.9447822188191708,1.2406073310447507,4.613686989298288,4.789340255673356
Michigan,2005,5,17.70144638047674,4.890331768057877,1.6771482261216404,4.23633699478635,4.957826845537709
Michigan,2005,6,27.279743689709107,14.428386722957043,2.4334885493074787,4.291808532822922,6.875944587149713
Michigan,2005,7,27.914673106848113,14.373874763943945,3.0368704740594006,3.5795289847039857,6.442681119638928
Michigan,2005,8,26.543774914690403,14.081562436076524,2.2022821674395856,3.731530420866336,5.4544683755503165
Michigan,2005,9,24.104062507768674,10.476290328529785,3.0689388582625865,4.680681607973295,5.0152866060464945
Michigan,2005,10,15.57567479131535,4.85594379300403,1.4667597510728942,4.605940638867303,3.0547227979002907
Michigan,2005,11,7.271702396832268,-2.011877937755969,3.554497966820597,6.568436323950633,1.98688143185511
Michigan,2005,12,-1.944568818374421,-7.826718651525823,1.6922896991131415,5.320417769281742,0.7125065353251713
Michigan,2006,1,2.154834599230412,-4.810599956831538,2.4824869753611702,5.481676629458967,0.9199880242198183
Michigan,2006,2,-1.0619925430183912,-10.209281872793554,1.7029513652782453,5.620409828347155,1.2453167489045587
Michigan,2006,3,5.868909949932572,-4.9149835196532194,1.8066528328916607,4.623107532339648,2.4413205035344316
Michigan,2006,4,15.308909342498964,1.693707473413383,1.8026539805931272,4.773673438635158,4.831048931008209
Michigan,2006,5,19.5291394046273,7.66503342861472,3.809532504905815,4.732768133822457,5.37253654364547
Michigan,2006,6,24.360200962153613,11.026968777559773,1.9854225074500664,3.6495827277450315,6.208226347088472
Michigan,2006,7,28.28942514483873,15.619345164800393,3.195210406423712,4.138169348976414,6.82490062759777
Michigan,2006,8,25.582011982820973,13.02398118611245,2.5239404146343936,3.787657270215227,5.292059305081237
Michigan,2006,9,19.43987425592337,8.202525044339552,2.8560533278896227,4.399704057208138,3.5116789237039963
Michigan,2006,10,11.95139627297499,1.7701399297852163,3.5244013302638506,5.52346760127699,2.668154939713915
Michigan,2006,11,7.644537789671915,-0.26377743272013277,1.9927672056360857,4.6878086699263815,1.6052413480912984
Michigan,2006,12,3.036942355890517,-3.6517239491157056,2.3569122289977167,6.063324992916314,1.1376553323222862
Michigan,2007,1,-1.1043954557088114,-8.898290537986156,1.775118682387434,5.816394756847573,0.9497459390341645
Michigan,2007,2,-4.431692850873446,-13.943864694667184,0.8491758638554735,6.071657001849293,1.1940088144094037
Michigan,2007,3,7.254268565794803,-4.300066885606213,2.0128250745664653,5.585608329095544,3.0777304832138235
Michigan,2007,4,11.350277138345461,-0.5522235126184114,2.4714381839696467,5.1957487329318575,4.0229337883797465
Michigan,2007,5,21.84083852260511,7.331435293107063,1.888925247679964,4.732073901476175,6.808423052788984
Michigan,2007,6,26.13385924973244,11.785871658055157,2.2114757433706314,4.027038093226245,6.879245985753377
Michigan,2007,7,27.092240665936913,13.190380512172453,1.640162621833801,3.7381693685885007,6.648411673941723
Michigan,2007,8,26.27218054978232,13.648708085451403,3.3223185139372675,3.7974424199898453,5.594946162477055
Michigan,2007,9,23.123308949634463,9.753469132362056,2.2824291361091946,5.020264359401692,4.975044362262552
Michigan,2007,10,17.161673555794437,6.62034957647063,3.130889617120355,5.511974346879474,3.3859403875932745
Michigan,2007,11,4.940822567744988,-3.1229838544221025,1.3466937510545822,5.974957651084335,1.561577256474504
Michigan,2007,12,-0.6500392295584447,-7.852132920886504,2.117394102345151,5.277584549107373,0.7679356143331295
Michigan,2008,1,-1.4463655861397342,-9.58154736501291,2.574763920760613,5.958682600366778,1.0368047507298856
Michigan,2008,2,-2.340582366811816,-12.826344301070435,2.1926691928959734,4.772015981879767,0.999350354343093
Michigan,2008,3,2.7577203835613773,-8.08903435619385,1.379487719598294,4.682028787020608,1.9488814345890146
Michigan,2008,4,13.970509929310708,1.1246853526779432,2.475870973582537,5.16803191825308,4.663775795680266
Michigan,2008,5,17.62983325240492,4.139287487880267,1.9975797082587385,4.638361747553559,5.2716589417551205
Michigan,2008,6,24.187649433014258,12.198280572025169,3.996021750234298,4.459560243132684,6.109434760531806
Michigan,2008,7,26.40466925088242,13.967172000382277,2.86402933784816,4.013552918460756,6.387741067323725
Michigan,2008,8,26.204507394914287,12.002982352304855,1.3598238503095963,3.645104452160318,5.742517699687021
Michigan,2008,9,21.36267160231239,9.398401897743383,4.312078143312463,4.040519438132915,3.8028077577634534
Michigan,2008,10,13.710550715133365,2.40075437424656,1.6986332695912207,5.1850366643817365,2.8655110624833307
Michigan,2008,11,5.1730157596267645,-2.0884550448870414,1.939320064037071,5.524456178160631,1.601193708879628
Michigan,2008,12,-2.31408350619904,-10.807670540722768,3.4016479134966224,6.3941817127745875,0.8678417727832557
Michigan,2009,1,-5.543534477826313,-16.306421376973105,1.0179687754826838,4.872431551567886,0.6978596179331801
