state,year,month,tmmx_c,tmmn_c,precip_mm,wind_speed,etr_mm
West Virginia,2000,1,4.064036365328661,-8.02151466767981,1.6924656874531476,5.325729738292307,1.9856865068987046
West Virginia,2000,2,9.719390577635295,-2.5048178405854173,3.542472779641406,4.929332670070579,2.767110900378268
West Virginia,2000,3,14.456400583221068,-0.12026138642738715,2.4722082322366914,4.647032366288888,3.96594475464705
West Virginia,2000,4,16.927518639457276,3.5524760812764953,3.799471551025629,4.428442359915987,4.257961646696671
West Virginia,2000,5,24.331038136505924,9.916202796607763,3.470144937466457,4.090873180639478,5.813451936897651
West Virginia,2000,6,26.656070980853713,14.864869715468956,4.761123561201578,3.72523122189459,5.70104385808322
West Virginia,2000,7,26.166042674347295,14.836809921871634,4.453754260917429,2.868521341866125,4.915152355123931
West Virginia,2000,8,26.015589658360796,15.046918647686596,4.046760856409378,3.2656398883224047,4.591317212331529
West Virginia,2000,9,22.90479993162876,10.717099802335383,3.822475487611108,3.341836892063359,3.731702473919934
West Virginia,2000,10,19.92051547228658,4.754596829886566,0.7497839631758193,3.390952979995267,3.691838151353494
West Virginia,2000,11,9.66407855335666,-1.6373685070745978,1.5572727078195607,4.494641829093563,2.228386419002963
West Virginia,2000,12,0.9649213932830776,-9.322296032256588,1.8628011638481263,4.733247914452762,1.3981707685263673
West Virginia,2001,1,3.6603572888184317,-6.935522617854815,2.157388563129598,4.2435144421937,1.4536393373728627
West Virginia,2001,2,8.44320918934227,-3.41666744483274,2.0000102274978175,4.618840641262521,2.5521056138676186
West Virginia,2001,3,7.863561497158059,-3.014577221164757,2.876520608518804,5.091408633316261,2.7263525416628163
West Virginia,2001,4,20.038188266454654,4.726115508906389,1.9578920089253533,4.54535982658916,5.5481391092844845
West Virginia,2001,5,22.45966187526483,9.056127636663518,5.368232920593924,3.3179086871903896,4.826719625051607
West Virginia,2001,6,26.3465145579126,13.621027070111154,3.614285370422708,2.901190089070153,5.2938197930086055
West Virginia,2001,7,26.651977994731965,14.423613184947499,6.40650537572286,2.9995075059332046,5.1542872070395545
West Virginia,2001,8,27.757052846046975,16.39328494490661,2.910013323184285,2.8832126362058514,4.763065582674591
West Virginia,2001,9,22.877608602747955,9.585258081220275,2.1215307865487456,3.2484785545422175,4.095739150974345
West Virginia,2001,10,18.71691852952023,3.211529341223752,1.0707826286621616,4.867447786006149,4.381263385744556
West Virginia,2001,11,16.71238463309072,0.3945141181733902,1.113656810541454,3.9955256535613866,3.237903741266304
West Virginia,2001,12,8.975919479401625,-2.0156393583796444,2.141613476972372,4.60930978355636,2.164476686366296
West Virginia,2002,1,7.6351878883533,-3.6961382128399123,2.5588271194063315,4.715219520618223,2.234580473038098
West Virginia,2002,2,7.983722661336344,-5.407143223116634,0.9416109994611634,5.127305847496413,2.7824273208310326
West Virginia,2002,3,12.3988992827571,-1.043557801343411,4.136666823162788,5.213014510342554,3.7653276405093243
West Virginia,2002,4,18.96813253148929,5.377566773725732,5.184915438707703,4.862691290580812,5.215926662536628
West Virginia,2002,5,21.486066041420997,7.798492602511601,4.211375608997997,4.224629562584934,5.270249132202989
West Virginia,2002,6,27.428460450093155,14.534121473397533,3.8115799012993548,3.3603148427177034,5.847138408390283
West Virginia,2002,7,28.604826492142138,17.344424654797024,4.119730266959751,3.2298486749173168,5.638624238052917
West Virginia,2002,8,28.883299272934266,15.67764204432234,1.6590816645792485,3.167635428619089,5.6807497115479455
West Virginia,2002,9,26.696977052633542,12.577410143063275,3.208300884861066,3.211356195913374,4.66382315276837
West Virginia,2002,10,16.374002367587707,6.982051732479647,4.451959135519166,3.686131320465915,2.4704086590670693
West Virginia,2002,11,9.336001437132097,-0.02541989163182734,3.524130794960716,5.171389442718926,2.105034898938986
West Virginia,2002,12,4.600573151036713,-4.138461214705103,2.835740587650122,5.193457739528926,1.7689384635295267
West Virginia,2003,1,0.21458778341252582,-8.669871396539008,2.0776171505646563,5.293179249677858,1.428790544327667
West Virginia,2003,2,2.4738001404491,-5.536050375328784,5.600046387202501,4.868880932346944,1.444400939988739
West Virginia,2003,3,13.534031738131432,-0.18350325096395181,1.6919400371316462,4.515352272564663,3.518112863917533
West Virginia,2003,4,18.90233075737558,5.306791791994669,3.2184015301132236,4.633746930322877,5.0840703345740605
West Virginia,2003,5,20.13668783226632,10.02453243597597,5.992056063586753,4.216308977031675,4.2975146392877575
West Virginia,2003,6,24.11411085202616,12.876376245519964,5.609813433258222,3.3612367053172583,4.9696021640679655
West Virginia,2003,7,27.12834410409897,15.943405941032381,4.901308930594234,3.6361388530674605,5.523647070798283
West Virginia,2003,8,27.492866697349427,16.744477571470895,4.554215712832267,2.6455810314124237,4.611423041893147
West Virginia,2003,9,22.529078595496344,11.371973695984252,5.753184662314089,3.5587658323726856,3.664860244104169
West Virginia,2003,10,17.537466179291982,4.229950565378147,2.515039828267396,4.028853163149986,3.276913605754048
West Virginia,2003,11,14.334831284530765,1.6417700786749947,5.7521052175988325,4.86788092404609,2.7858103007845236
West Virginia,2003,12,4.679793106499801,-4.436622417019976,2.9072147041418552,4.945834851443549,1.6042745149165916
West Virginia,2004,1,1.8612986407584344,-8.629833861757788,2.762930937672019,5.676247858465024,1.8024223782224742
West Virginia,2004,2,6.359238953356339,-5.631802385185438,2.4934127272327076,4.424222861862913,2.3298895339085854
