state,year,month,ndvi
New Mexico,2000,1,
New Mexico,2000,2,0.2057334184422978
New Mexico,2000,3,0.20292478593530597
New Mexico,2000,4,0.21097757684643026
New Mexico,2000,5,0.22465468003575834
New Mexico,2000,6,0.24961150744691768
New Mexico,2000,7,0.2744762657825524
New Mexico,2000,8,0.2702907108726943
New Mexico,2000,9,0.24883165232318072
New Mexico,2000,10,0.24580581184366476
New Mexico,2000,11,0.22291450065780047
New Mexico,2000,12,0.22209668825787873
New Mexico,2001,1,0.1701725323870795
New Mexico,2001,2,0.18737950979127868
New Mexico,2001,3,0.21368815248905362
New Mexico,2001,4,0.24032300420705766
New Mexico,2001,5,0.2692684928975851
New Mexico,2001,6,0.2654391773408503
New Mexico,2001,7,0.2779359596460854
New Mexico,2001,8,0.29149260048798764
New Mexico,2001,9,0.27177494048376716
New Mexico,2001,10,0.2481273770304243
New Mexico,2001,11,0.2436781077450312
New Mexico,2001,12,0.21949732235440425
New Mexico,2002,1,0.20337827896670962
New Mexico,2002,2,0.20060006316846732
New Mexico,2002,3,0.20356769241300632
New Mexico,2002,4,0.2120495839767861
New Mexico,2002,5,0.21219674342313394
New Mexico,2002,6,0.22597619562701105
New Mexico,2002,7,0.25422797557518145
New Mexico,2002,8,0.2699453791713308
New Mexico,2002,9,0.2859696564042833
New Mexico,2002,10,0.2801576902236465
New Mexico,2002,11,0.24795483181313693
New Mexico,2002,12,0.21146853330791787
New Mexico,2003,1,0.21805657213526317
New Mexico,2003,2,0.21430968559298924
New Mexico,2003,3,0.20942481994327647
New Mexico,2003,4,0.2192209082277203
New Mexico,2003,5,0.23163792949677559
New Mexico,2003,6,0.24443184612903593
New Mexico,2003,7,0.24505496292870055
New Mexico,2003,8,0.259188520231144
New Mexico,2003,9,0.25419818428163116
New Mexico,2003,10,0.24378051716641908
New Mexico,2003,11,0.23163862787255912
New Mexico,2003,12,0.21554952075305506
New Mexico,2004,1,0.20423075024996293
New Mexico,2004,2,0.17469312587130975
New Mexico,2004,3,0.20184814447121244
New Mexico,2004,4,0.2322751172370759
New Mexico,2004,5,0.25166448056321894
New Mexico,2004,6,0.25380056355493974
New Mexico,2004,7,0.28365539481847196
New Mexico,2004,8,0.3114675608098519
New Mexico,2004,9,0.28978930911461065
New Mexico,2004,10,0.270085093927729
New Mexico,2004,11,0.25083098457295405
New Mexico,2004,12,0.23656429695170525
New Mexico,2005,1,0.2242740767083349
New Mexico,2005,2,0.21576755065678382
New Mexico,2005,3,0.22875560115952487
New Mexico,2005,4,0.25208622541531095
New Mexico,2005,5,0.28467487695697824
New Mexico,2005,6,0.27848425628665513
New Mexico,2005,7,0.27497496797533627
New Mexico,2005,8,0.33140905505525864
New Mexico,2005,9,0.3074513649152228
New Mexico,2005,10,0.29163254756002666
New Mexico,2005,11,0.25532131889361437
New Mexico,2005,12,0.23908110841659677
New Mexico,2006,1,0.22509654072493568
New Mexico,2006,2,0.21622603567567458
New Mexico,2006,3,0.2037705923125378
New Mexico,2006,4,0.20583395256671347
New Mexico,2006,5,0.21476730850856895
New Mexico,2006,6,0.2309494528955824
New Mexico,2006,7,0.28918046300698746
New Mexico,2006,8,0.3906043151624906
New Mexico,2006,9,0.3594788174987953
New Mexico,2006,10,0.3102179922940072
New Mexico,2006,11,0.2627181556977018
New Mexico,2006,12,0.2046891572591913
New Mexico,2007,1,0.15519356024062644
New Mexico,2007,2,0.1834642789687991
New Mexico,2007,3,0.22179635175992632
New Mexico,2007,4,0.244852049366364
New Mexico,2007,5,0.2924561674676611
New Mexico,2007,6,0.2912276995478094
New Mexico,2007,7,0.306426607182515
New Mexico,2007,8,0.3093487022337645
New Mexico,2007,9,0.2936152064183519
New Mexico,2007,10,0.25858202229595867
New Mexico,2007,11,0.24297324350212612
New Mexico,2007,12,0.22075485724942373
New Mexico,2008,1,0.1833708634393381
New Mexico,2008,2,0.19119239999168697
New Mexico,2008,3,0.1953710271290794
New Mexico,2008,4,0.20277621606984905
New Mexico,2008,5,0.22018322602033574
New Mexico,2008,6,0.2332245760041542
New Mexico,2008,7,0.30934186929621255
New Mexico,2008,8,0.34839539287875293
New Mexico,2008,9,0.3151348329531227
New Mexico,2008,10,0.26563191768619704
New Mexico,2008,11,0.24294773802170835
New Mexico,2008,12,0.20827556110665923
New Mexico,2009,1,0.19105844560430418
New Mexico,2009,2,0.1997641058938474
New Mexico,2009,3,0.20441383674723276
New Mexico,2009,4,0.2062179079607156
New Mexico,2009,5,0.22779380038741676
New Mexico,2009,6,0.25250607172425815
New Mexico,2009,7,0.2764097692173342
New Mexico,2009,8,0.28357653730215937
New Mexico,2009,9,0.2784921794120773
New Mexico,2009,10,0.2518218760775653
