state,year,yield_bu_acre,ndvi_01,ndvi_02,ndvi_03,ndvi_04,ndvi_05,ndvi_06,ndvi_07,ndvi_08,ndvi_09,ndvi_10,ndvi_11,ndvi_12,tmax_01,tmax_02,tmax_03,tmax_04,tmax_05,tmax_06,tmax_07,tmax_08,tmax_09,tmax_10,tmax_11,tmax_12,precip_01,precip_02,precip_03,precip_04,precip_05,precip_06,precip_07,precip_08,precip_09,precip_10,precip_11,precip_12,ph,ocd,clay,sand,silt,bd,irr_frac,planting_doy,harvest_doy,irr_frac_filled,irr_flag
Idaho,2000,75.0,0.2528171030803186,0.2641487484722792,0.2961849646487006,0.4136346980697401,0.5421343643964535,0.5836864282117832,0.5343226247759999,0.49327510225752363,0.49194160763211275,0.43303266109209027,0.2586552253049577,0.2506825637421086,0.4676384091543468,4.634629432725433,7.46693470732373,14.472303532366652,16.527740374989435,23.3429201001843,28.24600934825912,27.87021725371602,19.658477918606938,12.483433523097515,1.1830150085157245,0.0078899943129613,2.8347647628743835,2.72590349379041,1.640967070232514,1.3175099739836549,1.8147184556376708,0.875963523854291,0.3095414865607655,0.2972804389932142,1.5204659737098003,2.2280421881613135,1.1608199982414262,1.4262002322549638,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,,80.0,216.0,0.3741378248046363,0
Idaho,2001,68.0,0.22150081616841386,0.22061852098097756,0.3427391125414182,0.3991454645603961,0.5504366644246748,0.5205034148723536,0.5264206995224548,0.48801530526750697,0.4871015993599666,0.45767320152049157,0.44928106879213164,0.14487794991358102,0.0433448982037134,1.335779637625535,8.519955161032556,10.78086439667652,19.6219589622782,21.960554767415772,26.303734184657745,29.54126019564393,23.77287397513129,13.165608889942009,7.113663718683085,-1.3058882434082193,1.0408449685906402,1.1094635946341431,1.3234139519120462,2.0591284528273976,0.9501809465902132,1.378589573873304,0.9641091585031464,0.1572480781221662,0.6045297957072044,2.012528884301397,2.1894500545737987,2.992046610263559,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,,80.0,216.0,0.3741378248046363,0
Idaho,2002,65.0,0.13494284036421883,0.20364721620541676,0.18968078320954423,0.37292986597174355,0.49922675201045413,0.5954662660824339,0.5485101376055929,0.5106828375876562,0.5055209188694357,0.49281041390863844,0.4178985667555086,0.3557154257769664,-0.9194394284497208,1.6771129792051056,4.841021802432351,11.807800159189298,16.68405426319282,22.52075616621289,29.189608380807385,25.29521064317794,20.801436598384896,11.877462071236494,6.2165152357728175,2.0499899020730936,2.5133134459361677,1.2880190995301208,2.092724738710064,1.7036513589812503,1.3698766958824335,1.3333216229808154,0.4572065800964133,0.4687886029043979,0.9294461722364866,0.5261104496242757,1.3686025213409947,2.6621086879564326,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,0.3200192194202719,80.0,216.0,0.3200192194202719,0
Idaho,2003,66.0,0.3010782193685979,0.35981878138840667,0.3597535939526496,0.39778636473920465,0.5296775406082322,0.5768199043721142,0.5150390499127389,0.49940104461253326,0.4830942872601571,0.4931777815807429,0.32909639206523467,0.1643499105688483,4.081827869158872,2.2500822924695285,7.99415493585451,10.74695831739382,17.181297490581358,23.30886134304734,30.67030731230352,28.29326786425787,21.837605273041504,15.839985186224284,3.010666900883564,1.461834824317748,2.577510953712283,1.7485574592837203,2.8616206703330764,2.1593538341805587,1.7237083564864466,0.5819777032984015,0.2867254798094633,0.7917943162808597,0.638257502256345,0.7302729788540437,2.3227427340470896,3.038192344467361,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,,80.0,216.0,0.3741378248046363,0
Idaho,2004,79.0,0.13634874187251,0.1987787699214262,0.3351561593634357,0.45419038908310944,0.545178200440049,0.6014527687519197,0.5501307478910259,0.5296692926956644,0.5186240448558492,0.4631939332258312,0.4558855773103654,0.39654020990209915,-0.6724190398743417,2.077993335493886,10.89179649968861,14.020088626247514,15.749735781363428,22.632837600029063,27.562595560095588,25.589957074504127,18.989824677727995,12.577418612168856,5.363462725778163,2.4355173763868265,2.421091894804831,1.890808745503662,0.9534778445029471,1.1650546378088438,3.085167560430287,1.286341983059876,0.806258212947615,1.7459440971627067,1.4189896721269033,2.0619644740572567,1.2066109864225958,2.1848729005142156,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,,80.0,216.0,0.3741378248046363,0
Idaho,2005,72.0,0.2763009194541082,0.3878968295684301,0.38220145136883865,0.4450349917867133,0.5978779288654321,0.6326148499818418,0.5594869995276609,0.5179094425738786,0.5001510565565754,0.5201664691689085,0.38536620294554835,0.23150434147055582,1.7108851794640143,4.783771360678259,8.156892333386622,12.011269093924795,16.519224290204477,19.446747943307855,28.373063230184243,27.036324206901668,20.494624760935096,13.767610667468716,4.845784987789216,-0.1217254378954066,1.4971047236846944,0.6679112297802197,2.06371255997079,1.9192884787866755,3.5091104071853834,2.1950188054300313,0.3428781456960355,0.4291655711408151,0.8652275305732178,1.5383138532108362,2.4530603801042448,3.717293351287642,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,,80.0,216.0,0.3741378248046363,0
Idaho,2006,73.0,0.2275050736922106,0.28902368332884615,0.22159805314290917,0.37726200871216636,0.5403365788720508,0.6200568976247635,0.5517204351098458,0.5102887235205049,0.503297061373944,0.5132037260353536,0.4142840609239804,0.30404713676951073,1.817479318824496,2.0356531923014813,5.640526395220945,12.39388870326809,18.781736877814353,23.799303649449712,29.834339678249137,26.555378019153352,21.1719849955241,12.145563752820976,5.353663389885696,1.4244644079366822,3.9582322313281257,1.6831387472179538,2.241008007559647,2.654123873656769,1.474475382094337,1.587061309923284,0.422368214031285,0.3810159463084434,1.1325298969939597,1.3349242065520697,3.9182878606836673,2.301839143701689,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,,80.0,216.0,0.3741378248046363,0
Idaho,2007,68.0,0.28383468563308545,0.2875017190542135,0.42677624753512333,0.481254886278802,0.566355813891873,0.5785972559816838,0.5172826766445983,0.48601905781208693,0.48447583446871473,0.5035758014596199,0.47540341475417675,0.20342411558781917,-0.3740362743432115,4.42156537511454,10.77541971566302,13.100047168208391,18.956341773287814,23.542979024924023,31.27911915043245,27.28252460298347,20.063283544432636,12.047135073692289,6.289365645986948,-0.9705074938760276,1.1704636799193575,2.292975113868631,1.2200408941061491,1.372519258136524,0.9818434748116716,1.1713968310767249,0.3251900345313783,0.4789806955095144,1.1303314960888202,2.2358486157434068,1.774983479728616,3.1384818357128945,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,0.362176245921665,80.0,216.0,0.362176245921665,0
Idaho,2008,72.0,0.14387971359968935,0.17737697280071849,0.19836623213648938,0.27600334459426745,0.45540911728051925,0.5777653152352333,0.5471096512246221,0.5082201022717224,0.5004517110322322,0.4645130309604256,0.5028730421446935,0.2657559909015242,-1.4092371983164185,3.062336051608497,4.7461350371245885,9.58652171966287,16.994352443320167,21.488488322176977,27.92654769642337,26.715053108823383,21.8636902092141,13.448981307814677,7.457605834976505,-0.8434463122282523,3.0531346873326055,2.0528253796004523,1.9987261157121583,1.1215952400824036,1.7127294377613425,1.315413690400867,0.2735720760923787,0.6808242248582138,0.7047785359302489,0.8994463084321044,2.36141666351601,3.2323143850215805,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,,80.0,216.0,0.3741378248046363,0
Idaho,2009,77.0,0.21682873016339763,0.2406483578910444,0.23429641672910462,0.3711264394473771,0.5147367527909189,0.627101141973245,0.5770286016327808,0.5340255277198019,0.49305936283009216,0.4822438717751615,0.45838828212365407,0.30985281158704675,1.3091972378805965,3.334747032377379,5.353321620423117,11.48235102958023,18.512562979351685,20.127547640485716,27.19572771595915,25.589917321382416,23.7224473375569,9.597565748473698,5.863628414333789,-2.430134491358217,2.4266104851734447,1.363486815986673,2.8494357992514407,1.650045374279848,1.8927367574667917,2.940106107474625,0.6096089470113306,1.2178993307461692,0.323543434130442,2.063486969651606,1.2006527347239349,1.4835914602204026,0.5948254187522417,0.6121684515322803,0.46558687163412754,0.3292068579164413,0.7321671890006352,0.20468151702267967,,80.0,216.0,0.3741378248046363,0
